PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2010,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2011,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2012,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2013,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2014,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2015,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2016,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2017,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2018,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2019,,,,,,1.0449
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2020,,,,,,1.0484
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2021,,,,,,1.0484
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2022,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2023,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2024,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2025,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2026,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2027,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2028,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2029,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2030,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2031,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2032,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2033,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2034,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_TRANS,E1ELE,,1,2035,,,,,,1.0398
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2010,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2011,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2012,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2013,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2014,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2015,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2016,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2017,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2018,,,,,,1.1286
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2019,,,,,,1.1363
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2020,,,,,,1.1466
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2021,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2022,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2023,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2024,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2025,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2026,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2027,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2028,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2029,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2030,,,,,,1.1393
InputActivityRatio,NDCINC,ECU,ELE_DIST,E2ELE,,1,2031,,,,,,1.1393
