PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2010,,,,,,46.892
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2011,,,,,,41.7337
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2012,,,,,,37.3278
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2013,,,,,,36.1499
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2014,,,,,,34.9923
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2015,,,,,,33.1001
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2016,,,,,,31.219
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2017,,,,,,30.5258
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2018,,,,,,29.8308
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2019,,,,,,26.3831
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2020,,,,,,24.8604
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2021,,,,,,25.4808
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2022,,,,,,23.8939
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2023,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2024,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2025,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2026,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2027,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2028,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2029,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2030,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2031,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2032,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2033,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2034,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRAND,,CO2e_CUT,1,2035,,,,,,32.4915
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2010,,,,,,0.3315
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2011,,,,,,0.1511
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2012,,,,,,-0.0139
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2013,,,,,,-0.1317
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2014,,,,,,-0.2425
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2015,,,,,,-0.3326
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2016,,,,,,-0.423
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2017,,,,,,-0.4621
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2018,,,,,,-0.5013
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2019,,,,,,-0.663
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2020,,,,,,-0.7399
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2021,,,,,,-0.8083
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2022,,,,,,-0.8794
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2023,,,,,,-0.3627
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2024,,,,,,-0.3627
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2025,,,,,,-0.3627
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2026,,,,,,-0.3627
EmissionActivityRatio,NDC,ECU,T5NPRPLU,,CO2e_CUT,1,2027,,,,,,-0.3627
