Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2024,FixedOpex2024,VarOpex2024,Opex2024,Externalities2024,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2010,,,,,,,2.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2010,,,,,,,2.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2010,,,,,,,2.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2011,,,,,,,2.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2011,,,,,,,2.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2011,,,,,,,2.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2012,,,,,,,2.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2012,,,,,,,2.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2012,,,,,,,2.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2013,,,,,,,2.8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2013,,,,,,,2.8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2013,,,,,,,2.8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2014,,,,,,,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2014,,,,,,,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2014,,,,,,,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2015,,,,,,,3.0786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2015,,,,,,,3.0837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2015,,,,,,,3.0837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2016,,,,,,,2.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2016,,,,,,,2.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2016,,,,,,,2.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2017,,,,,,,2.9302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2017,,,,,,,2.9344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2017,,,,,,,2.9344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2018,,,,,,,2.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2018,,,,,,,2.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2018,,,,,,,2.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2019,,,,,,,2.9377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2019,,,,,,,2.9376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2019,,,,,,,2.9376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2020,,,,,,,2.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2020,,,,,,,2.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2020,,,,,,,2.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2021,,,,,,,3.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2021,,,,,,,3.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2021,,,,,,,3.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2022,,,,,,,3.1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2022,,,,,,,3.1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2022,,,,,,,3.1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2023,,,,,,,3.3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2023,,,,,,,3.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2023,,,,,,,3.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2024,,,,,,,3.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2024,,,,,,,3.5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2024,,,,,,,3.5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2025,,,,,,,3.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2025,,,,,,,3.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2025,,,,,,,3.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2026,,,,,,,3.8952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2026,,,,,,,3.8933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2026,,,,,,,3.8944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2027,,,,,,,4.0898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2027,,,,,,,4.0863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2027,,,,,,,4.0883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2028,,,,,,,4.2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2028,,,,,,,4.2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2028,,,,,,,4.2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2029,,,,,,,4.4877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2029,,,,,,,4.4815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2029,,,,,,,4.4851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2030,,,,,,,4.6907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2030,,,,,,,4.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2030,,,,,,,4.6877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2031,,,,,,,4.7823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2031,,,,,,,4.7739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2031,,,,,,,4.7788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2032,,,,,,,4.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2032,,,,,,,4.8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2032,,,,,,,4.8702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2033,,,,,,,4.9657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2033,,,,,,,4.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2033,,,,,,,4.9616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2034,,,,,,,5.0574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2034,,,,,,,5.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2034,,,,,,,5.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2035,,,,,,,5.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,BLEND_NO_DCOLL,,2035,,,,,,,5.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,BLEND_NO_DCOLL,,2035,,,,,,,5.1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2010,,,,,,2.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2010,,,,,,2.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2010,,,,,,2.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2011,,,,,,2.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2011,,,,,,2.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2011,,,,,,2.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2012,,,,,,2.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2012,,,,,,2.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2012,,,,,,2.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2013,,,,,,2.8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2013,,,,,,2.8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2013,,,,,,2.8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2014,,,,,,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2014,,,,,,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2014,,,,,,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2015,,,,,,3.0786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2015,,,,,,3.0837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2015,,,,,,3.0837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2016,,,,,,2.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2016,,,,,,2.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2016,,,,,,2.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2017,,,,,,2.9302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2017,,,,,,2.9344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2017,,,,,,2.9344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2018,,,,,,2.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2018,,,,,,2.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2018,,,,,,2.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2019,,,,,,2.9377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2019,,,,,,2.9376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2019,,,,,,2.9376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2020,,,,,,2.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2020,,,,,,2.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2020,,,,,,2.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2021,,,,,,3.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2021,,,,,,3.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2021,,,,,,3.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2022,,,,,,3.1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2022,,,,,,3.1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2022,,,,,,3.1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2023,,,,,,3.3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2023,,,,,,3.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2023,,,,,,3.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2024,,,,,,3.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2024,,,,,,3.5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2024,,,,,,3.5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2025,,,,,,3.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2025,,,,,,3.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2025,,,,,,3.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2026,,,,,,3.8952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2026,,,,,,3.8933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2026,,,,,,3.8944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2027,,,,,,4.0898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2027,,,,,,4.0863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2027,,,,,,4.0883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2028,,,,,,4.2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2028,,,,,,4.2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2028,,,,,,4.2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2029,,,,,,4.4877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2029,,,,,,4.4815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2029,,,,,,4.4851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2030,,,,,,4.6907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2030,,,,,,4.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2030,,,,,,4.6877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2031,,,,,,4.7823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2031,,,,,,4.7739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2031,,,,,,4.7788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2032,,,,,,4.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2032,,,,,,4.8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2032,,,,,,4.8702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2033,,,,,,4.9657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2033,,,,,,4.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2033,,,,,,4.9616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2034,,,,,,5.0574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2034,,,,,,5.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2034,,,,,,5.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,NO_OSS_BLEND,,2035,,,,,,5.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_BLEND,NO_OSS_BLEND,,2035,,,,,,5.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_BLEND,NO_OSS_BLEND,,2035,,,,,,5.1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2010,,,,,,,1.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2010,,,,,,,1.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2010,,,,,,,1.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2011,,,,,,,1.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2011,,,,,,,1.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2011,,,,,,,1.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2012,,,,,,,1.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2012,,,,,,,1.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2012,,,,,,,1.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2013,,,,,,,2.0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2013,,,,,,,2.0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2013,,,,,,,2.0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2014,,,,,,,2.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2014,,,,,,,2.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2014,,,,,,,2.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2015,,,,,,,2.1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2015,,,,,,,2.1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2015,,,,,,,2.1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2016,,,,,,,2.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2016,,,,,,,2.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2016,,,,,,,2.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2017,,,,,,,2.0809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCcond,0,COLL_INORG,INORG_DCOLL,,2017,,,,,,,2.0767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,COLL_INORG,INORG_DCOLL,,2017,,,,,,,2.0767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_INORG,INORG_DCOLL,,2018,,,,,,,2.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
