PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDCcond,,,,,,2010,All,,,,,1
YearSplit,NDCcond,,,,,,2011,All,,,,,1
YearSplit,NDCcond,,,,,,2012,All,,,,,1
YearSplit,NDCcond,,,,,,2013,All,,,,,1
YearSplit,NDCcond,,,,,,2014,All,,,,,1
YearSplit,NDCcond,,,,,,2015,All,,,,,1
YearSplit,NDCcond,,,,,,2016,All,,,,,1
YearSplit,NDCcond,,,,,,2017,All,,,,,1
YearSplit,NDCcond,,,,,,2018,All,,,,,1
YearSplit,NDCcond,,,,,,2019,All,,,,,1
YearSplit,NDCcond,,,,,,2020,All,,,,,1
YearSplit,NDCcond,,,,,,2021,All,,,,,1
YearSplit,NDCcond,,,,,,2022,All,,,,,1
YearSplit,NDCcond,,,,,,2023,All,,,,,1
YearSplit,NDCcond,,,,,,2024,All,,,,,1
YearSplit,NDCcond,,,,,,2025,All,,,,,1
YearSplit,NDCcond,,,,,,2026,All,,,,,1
YearSplit,NDCcond,,,,,,2027,All,,,,,1
YearSplit,NDCcond,,,,,,2028,All,,,,,1
YearSplit,NDCcond,,,,,,2029,All,,,,,1
YearSplit,NDCcond,,,,,,2030,All,,,,,1
YearSplit,NDCcond,,,,,,2031,All,,,,,1
YearSplit,NDCcond,,,,,,2032,All,,,,,1
YearSplit,NDCcond,,,,,,2033,All,,,,,1
YearSplit,NDCcond,,,,,,2034,All,,,,,1
YearSplit,NDCcond,,,,,,2035,All,,,,,1
